feature,group,importance,importance_std,corr_with_distance,corr_pvalue,mean,std,min,max,early_mean,preboom_mean,boom_mean,postboom_mean
var_x1,variance,-1.2000000000012001e-05,9.797958971142512e-06,0.27624710259452,0.0,0.33520507822529655,0.23556448364307211,1.4868462635143215e-13,0.7280149459838867,0.004936998293534777,0.2934514406087641,0.3802756210582124,0.40601035848011574
var_y1,variance,0.00033199999999999896,6.400000000000156e-05,0.27316478781793824,0.0,0.31247368273020226,0.2181749021824349,5.573852536748698e-14,0.7683741450309753,0.004843663249813295,0.2889123277968765,0.3967862590423061,0.39389394065582495
var_x2,variance,1.2000000000012001e-05,9.797958971142512e-06,0.2279649456811828,0.0,0.6804005694612644,0.4770214057270899,2.465736165593868e-12,1.9763779640197754,0.007096772622634712,0.6093379833708751,0.8061443245245351,0.8476013274010687
var_y2,variance,2.4000000000024002e-05,1.9595917942285024e-05,0.2466421354652999,0.0,0.5882067274765534,0.4126410120032086,1.0901390602941277e-13,2.0633156299591064,0.009856344499936555,0.5281499866077956,0.791006712284353,0.7878878469930756
var_th1,variance,0.004891999999999985,9.260669522233577e-05,0.5587727575099022,0.0,83.59983678456753,103.436728146006,3.8577639346892845e-12,539.7036743164062,0.04436384528719826,2.14402741449649,4.527347311625878,9.00083959605462
var_th2,variance,0.0029159999999999854,0.00016847551750920968,0.5582184185186625,0.0,243.05594608160345,302.4875578993132,3.6942538329635954e-13,1657.675048828125,0.05415729702765663,7.38785787944669,12.637081493602858,20.26553764704201
var_w1,variance,5.1999999999985394e-05,2.9933259094173992e-05,0.2700061901800774,0.0,11.9700714279354,8.562764362656742,4.3545923811283416e-11,43.76626968383789,0.19297111501763559,9.948990036538492,17.688691753811305,16.54778049241172
var_w2,variance,0.0004199999999999982,5.6568542494941125e-05,0.27572837369734976,0.0,23.166428159324557,16.572605068372194,2.444302572846002e-12,99.5400161743164,0.24271390726605838,16.828270173252452,24.54072225358751,29.526039395332337
std_x1,std,0.0,0.0,0.2762471040217729,0.0,0.4860985899219354,0.3145047521210004,3.855964507692988e-07,0.8532379269599915,0.018028265070635433,0.5083583426226267,0.6040877259439892,0.6265655214885869
std_y1,std,0.0,0.0,0.2731647861351404,0.0,0.47043046394762134,0.30194181774492473,2.360900737130578e-07,0.8765695095062256,0.017596844541954995,0.5016066511311672,0.617612186819315,0.6193834387577242
std_x2,std,0.0,0.0,0.22796494309457124,0.0,0.6969465398932165,0.4412098024479995,1.5702662494732067e-06,1.405837059020996,0.02697045180619074,0.7360468216078979,0.8749883400069343,0.9057844009399414
std_y2,std,0.0,0.0,0.24664214039150545,0.0,0.6486094903102944,0.4092828563461803,3.301725257642829e-07,1.4364246129989624,0.027676374569321007,0.6826188633361211,0.869931725329823,0.872104921201865
std_th1,std,0.0,0.0,0.5587727573919834,0.0,6.732732444661179,6.1862873025006895,1.9641190647234907e-06,23.231523513793945,0.03592103139320327,1.240032572336495,1.9917884737253189,2.815120321220822
std_th2,std,0.0,0.0,0.5582184183210767,0.0,11.445721233932755,10.585433926389129,6.078037131374003e-07,40.71455383300781,0.04524204471457472,2.279064531237715,3.217797179354562,4.1881560961272974
std_w1,std,0.0,0.0,0.27000618958079287,0.0,2.9093607640588433,1.8723491583585377,6.598933396162465e-06,6.615608215332031,0.11630405339958519,2.9753300908737716,4.121071806218889,3.991111044565836
std_w2,std,0.0,0.0,0.2757283782421272,0.0,4.04620781238517,2.606651204266965,1.5634265082553611e-06,9.976974487304688,0.14244915028694954,3.8536305348078406,4.8145993524127535,5.3350715908474395
iqr_x1,iqr,5.999999999997119e-05,3.3466401061356686e-05,0.30531279396918914,0.0,0.9467369443935811,0.6436084189820828,1.7881393432617188e-07,1.8724690675735474,0.031073721499621617,0.8148640802370178,1.0060422791375054,1.0585631429255011
iqr_y1,iqr,8.000000000008e-06,9.79795897114251e-06,0.29917644255121034,0.0,0.8841655380293582,0.5978651626961019,1.1920928955078125e-07,1.9279859066009521,0.029029825967523473,0.7858589764899676,1.0316871593395869,1.0323077821102404
iqr_x2,iqr,4.000000000004e-06,8.000000000008e-06,0.19141896358777613,0.0,1.062939866513655,0.6896700106440623,3.5762786865234375e-07,2.954578399658203,0.04503208095645387,1.157966801362733,1.3302136341730753,1.3380636024756565
iqr_y2,iqr,4.000000000004e-06,1.4966629547110733e-05,0.195250020644224,0.0,0.9715208025581482,0.6270163203137046,2.384185791015625e-07,3.155571937561035,0.046672096475024294,1.0606274948931402,1.3977833797534307,1.3305133173167707
iqr_th1,iqr,0.005764000000000014,0.00010983624174197176,0.5369622964585411,0.0,9.530332651030932,8.979834798392384,8.344650268554688e-07,35.145931243896484,0.06310883304890008,1.60099986618095,2.863864749007755,4.303171491954062
iqr_th2,iqr,0.00011600000000000499,1.4966629547110733e-05,0.5429642142055882,0.0,16.350935497191255,15.28113150904388,0.0,64.95353698730469,0.07726287939752086,3.299967202252812,4.6956852078437805,6.001441489670011
iqr_w1,iqr,0.0008119999999999683,0.00012367699866991616,0.24269301733696055,0.0,4.637925868774166,3.0855835152280644,2.86102294921875e-06,13.324378967285156,0.19750245719175322,4.43439443092876,6.525359103414748,6.229248385243944
iqr_w2,iqr,0.0,0.0,0.2513975785397366,0.0,6.407568123806529,4.2657373700880585,1.3709068298339844e-06,20.335956573486328,0.23410249786344517,5.785366404559879,7.1220271216498485,7.9967593450546275
range_x1,range,1.2000000000012001e-05,9.797958971142512e-06,0.22989088748329076,0.0,1.392982362921957,0.87758990854957,5.960464477539062e-07,2.0,0.059424873251078356,1.6573544935617182,1.9174258457289801,1.9563151552147335
range_y1,range,0.0,0.0,0.2148077973124381,0.0,1.3971504780469461,0.8764958711216939,2.980232238769531e-07,2.0,0.057761732824546275,1.6339719128774275,1.9378271003564198,1.9839193940824935
range_x2,range,1.2000000000012001e-05,1.6000000000016e-05,0.33737976683979265,0.0,2.7277924676905547,1.7360336435858057,5.960464477539062e-07,3.999959945678711,0.09414118200952931,2.7021939483781656,3.3459158963627287,3.6584604363971285
range_y2,range,1.9999999999997796e-05,2.1908902300188017e-05,0.2454486489023507,0.0,2.59627098841144,1.652654476119948,8.344650268554688e-07,3.996993064880371,0.09476147608620648,2.586001478388906,3.260780478848351,3.4458043104807534
range_th1,range,0.0007239999999999914,4.27083130081222e-05,0.5672521084780545,0.0,35.91162060455216,33.72103372491989,2.5033950805664062e-06,121.45745849609375,0.1146219042149559,5.307451856719123,8.095301013522677,11.057025483343336
range_th2,range,4.399999999999959e-05,2.6532998322826217e-05,0.5646509218924025,0.0,71.88906715854189,72.43929275841452,2.384185791015625e-07,286.7230529785156,0.1469342671098519,8.43660971200466,12.01960363123152,16.497391802416907
range_w1,range,4.80000000000258e-05,3.709447398197681e-05,0.3585606096294348,0.0,13.2905071537202,8.734708448351236,6.198883056640625e-06,21.638771057128906,0.39511303676392956,11.810019112454524,15.842946592966715,16.33590088303884
range_w2,range,6.799999999997918e-05,2.0396078054361053e-05,0.3491529465908935,0.0,18.68066308322331,12.307227258507885,3.4570693969726562e-06,30.511371612548828,0.4987794812104712,15.538773805830212,21.064303827285766,23.161936267217
skew_x1,skewness,2.8000000000005797e-05,2.03960780543567e-05,-0.005713949811259558,0.036065863245523785,0.003714348355694409,0.44163975735228417,-5.054812431335449,4.703197479248047,0.0006796502781416315,0.027002428528927133,0.14275945803771417,0.09568338614033857
skew_y1,skewness,1.6000000000016e-05,8.000000000008e-06,-0.026994969313954762,3.962449580648621e-23,-0.026782389240631647,0.4463827042221299,-5.648181438446045,5.245466709136963,-0.008948155477569318,0.32751796721394766,-0.36453824498587184,-0.3557136387953328
skew_x2,skewness,4.000000000004e-06,1.4966629547110733e-05,0.015754478806943167,7.474431782135043e-09,-0.0020527409019575355,0.3319490116438006,-3.4622631072998047,3.122241497039795,-0.01006538408016884,-0.057720043586780484,0.0678050751487414,0.04555159895846816
skew_y2,skewness,3.60000000000138e-05,1.4966629547075127e-05,0.061797918887432635,5.3366764040128655e-114,0.04267509949008546,0.3421037455381516,-4.317049503326416,2.4486169815063477,-0.006098350284091953,0.06876919134020379,-0.10627406179491017,-0.1131517221077229
skew_th1,skewness,9.999999999998899e-05,1.788854382001621e-05,0.04334219275776375,5.61308656934941e-57,0.03364448240665772,0.4974368762192756,-5.126929759979248,6.945168495178223,0.006217284651542649,-0.05748093821625748,-0.017461117336319554,0.00109354949526541
skew_th2,skewness,7.599999999996498e-05,2.332380757940453e-05,0.0043168616642406754,0.11327305254895544,0.02973765271887792,0.53124817910911,-10.447511672973633,3.9094557762145996,0.007732332205667817,-0.006166297228047258,-0.004175140377548006,0.050247735813188935
skew_w1,skewness,2.4000000000024002e-05,8.000000000008e-06,-0.014568897227234798,9.046945699203224e-08,0.01224042616601135,0.3699774563649532,-3.6310112476348877,3.19179105758667,0.006243750927198924,0.010937817499319663,0.003879721938735909,0.052080511957756245
skew_w2,skewness,0.00030799999999997496,2.039607805439154e-05,-0.01283550797757644,2.4904479963629095e-06,0.011709859205166971,0.3779616032784613,-4.728143692016602,5.590358257293701,0.012793886598715184,0.04520350891625286,-0.01590694381027586,0.007632329932119717
kurt_x1,kurtosis,2.0000000000020002e-05,0.0,-0.4963795574880153,0.0,-1.1982420111945788,1.0693872730599996,-1.9988071918487549,29.423954010009766,-1.1465098845192354,-0.28421482899453904,-0.6430602033933004,-0.6301225493219165
kurt_y1,kurtosis,2.0000000000020002e-05,0.0,-0.4930171590383299,0.0,-1.1486211959525345,0.9526924505254636,-1.999531626701355,34.78976058959961,-1.1453565972911517,-0.05598474393950571,-0.49000872903399995,-0.6420379421446059
kurt_x2,kurtosis,4.000000000004e-06,8.000000000008e-06,-0.02432840614044675,4.408294582115448e-19,-0.8529092937805779,0.5909355784901014,-1.9995144605636597,18.53818702697754,-1.1562805217936492,-0.6068616828388638,-0.5970415671666464,-0.49507444824112795
