formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
sqrt,1.0,0.45,4.4146825396825395,0.6554199435042845,0.07777777777777778,0.011111111111111113,0.7658730158730158,0.06109049332674863,7,90
sqrt,1.0,0.5,3.5888888888888886,0.4167777629669123,0.05555555555555556,0.01111111111111111,0.7944444444444444,0.041943524640393075,5,90
sqrt,1.0,0.55,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,1.0,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,1.0,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,1.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,1.5,0.45,4.022435897435898,0.4910754309629667,0.15555555555555553,0.01924500897298754,0.7419871794871794,0.047187281616459825,14,90
sqrt,1.5,0.5,3.3222222222222224,0.2411392712690079,0.059259259259259255,0.006415002990995843,0.8111111111111112,0.01924500897298752,5,90
sqrt,1.5,0.55,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,1.5,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,1.5,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,1.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,2.0,0.45,4.886904761904762,1.9093230359953008,0.1703703703703704,0.012830005981991686,0.7410714285714285,0.04971218181098234,15,90
sqrt,2.0,0.5,3.5185185185185186,0.7143445008142927,0.12962962962962962,0.03394500514782103,0.7542087542087542,0.0784591259106468,12,90
sqrt,2.0,0.55,3.4,0.3464101615137755,0.05185185185185185,0.006415002990995839,0.7833333333333333,0.028867513459481315,5,90
sqrt,2.0,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,2.0,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,2.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,2.5,0.45,4.570453912559176,1.3970993262210536,0.21481481481481482,0.016972502573910517,0.779030910609858,0.0602069143918111,19,90
sqrt,2.5,0.5,4.556998556998557,1.7703687132794197,0.14814814814814814,0.023129622216290363,0.7568542568542568,0.07977396965186144,13,90
sqrt,2.5,0.55,3.2268518518518516,0.6041799700536189,0.10740740740740741,0.02312962221629036,0.8009259259259259,0.06563632814239734,10,90
sqrt,2.5,0.6,3.733333333333333,0.23094010767585027,0.04814814814814814,0.012830005981991683,0.7555555555555555,0.07698003589195015,4,90
sqrt,2.5,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,2.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,3.0,0.45,5.08466819221968,1.63480445402467,0.24074074074074073,0.025660011963983355,0.7734553775743707,0.07365435670220173,22,90
sqrt,3.0,0.5,4.142628205128205,1.5688431404412821,0.16666666666666666,0.01924500897298754,0.782051282051282,0.08359488048554471,15,90
sqrt,3.0,0.55,3.5851851851851855,0.648010567408627,0.1259259259259259,0.03571722504071464,0.7481481481481481,0.07143445008142935,11,90
sqrt,3.0,0.6,3.466666666666667,0.23094010767585024,0.05555555555555555,0.0,0.8000000000000002,1.3597399555105182e-16,5,90
sqrt,3.0,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,3.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,3.5,0.45,7.071111111111112,0.8606543591511784,0.27037037037037037,0.006415002990995851,0.7399999999999999,0.045123287902269583,24,90
sqrt,3.5,0.5,4.106862745098039,1.5001451294651131,0.18888888888888888,0.033333333333333326,0.7935574229691875,0.08274786687295392,17,90
sqrt,3.5,0.55,4.526695526695526,1.8129451144667037,0.14814814814814814,0.023129622216290363,0.7568542568542568,0.07977396965186144,13,90
sqrt,3.5,0.6,3.3463203463203466,0.7270794424665729,0.0925925925925926,0.025660011963983365,0.8138528138528138,0.0749805544402111,8,90
sqrt,3.5,0.65,3.6999999999999997,0.264575131106459,0.044444444444444446,0.01111111111111111,0.7388888888888889,0.06735753140545638,4,90
sqrt,3.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,4.0,0.45,7.118632478632478,1.1753517618952323,0.2777777777777778,0.011111111111111101,0.7346581196581198,0.05127569405040409,25,90
sqrt,4.0,0.5,5.005941770647652,1.458309167738548,0.22222222222222224,0.02939723678960656,0.7716238010355658,0.07808857890751932,20,90
sqrt,4.0,0.55,4.232905982905983,1.5697189690840385,0.16296296296296298,0.016972502573910527,0.7751068376068376,0.09540753820001233,15,90
sqrt,4.0,0.6,3.2268518518518516,0.6041799700536189,0.10740740740740741,0.02312962221629036,0.8009259259259259,0.06563632814239734,10,90
sqrt,4.0,0.65,3.6999999999999997,0.264575131106459,0.04814814814814814,0.006415002990995839,0.7666666666666666,0.028867513459481315,4,90
sqrt,4.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,4.5,0.45,7.010921177587844,1.0960946831649585,0.2962962962962963,0.006415002990995851,0.725071225071225,0.019164706619763088,27,90
sqrt,4.5,0.5,5.124242424242424,1.3754137869744685,0.23703703703703705,0.012830005981991686,0.7515151515151516,0.061880538959582274,21,90
sqrt,4.5,0.55,3.9894419306184012,1.430611046556978,0.17407407407407405,0.025660011963983372,0.7918552036199095,0.07530912659318204,16,90
sqrt,4.5,0.6,3.3518518518518516,0.43152519250855725,0.11851851851851852,0.016972502573910513,0.781986531986532,0.03428520514211501,11,90
sqrt,4.5,0.65,3.4333333333333336,0.2081665999466132,0.05185185185185185,0.006415002990995839,0.7833333333333333,0.028867513459481315,5,90
sqrt,4.5,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,5.0,0.45,6.630890804597701,0.8190199997001532,0.337037037037037,0.01697250257391052,0.7264846743295018,0.03605157724524555,30,90
sqrt,5.0,0.5,4.95580808080808,1.3589583761376527,0.2518518518518518,0.012830005981991686,0.7664141414141414,0.05519568937978383,23,90
sqrt,5.0,0.55,3.9024767801857583,1.49220466091937,0.1851851851851852,0.02796234976026203,0.8058381247235736,0.062070959019367836,17,90
sqrt,5.0,0.6,3.383838383838384,0.8272967769472026,0.13703703703703704,0.025660011963983365,0.7676767676767677,0.08747731351357971,12,90
