config,mae,mae_std,rmse,coverage,coverage_std
3-model (std/s=15/t=0.70),2.97,0.06,4.25,0.109,0.025
LSTM+CNN (std/s=10),6.85,1.91,12.90,0.147,0.013
LSTM+CNN (std/s=15),6.51,1.71,12.01,0.190,0.007
LSTM+CNN (std/s=20),6.49,1.58,11.57,0.238,0.018
LSTM+CNN (range/s=10),7.72,2.16,14.56,0.109,0.011
LSTM+CNN (range/s=15),7.26,2.17,13.83,0.122,0.009
LSTM+CNN (range/s=20),6.85,1.91,12.90,0.147,0.013
LSTM+CNN (std/s=15/t=0.65),7.00,1.34,12.98,0.337,0.043
LSTM+CNN (std/s=15/t=0.75),5.20,1.69,8.49,0.097,0.006
